sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
33373621148,2021-08-14T04:39:30Z,75,18,19,38,44,56,0.07983761840324763
33364474877,2021-08-13T05:17:00Z,83,21,19,43,60,55,0.08912037037037036
33350764718,2021-08-12T05:20:30Z,86,19,21,46,44,57,0.0767656090071648
33331685023,2021-08-11T05:30:30Z,86,21,22,43,60,59,0.056074766355140186
33317352260,2021-08-10T05:43:30Z,89,21,23,45,81,61,0.07728557964184732
33305287309,2021-08-09T03:59:00Z,72,16,21,35,25,60,0.06013745704467354
33289193967,2021-08-08T06:01:30Z,74,18,14,42,61,58,0.09523809523809523
33276023518,2021-08-07T05:13:30Z,72,21,13,38,61,54,0.09281045751633987
33261700608,2021-08-06T05:03:30Z,77,21,19,37,49,53,0.07569721115537849
33250551341,2021-08-05T06:06:00Z,84,21,21,42,48,53,0.07665505226480836
33238813654,2021-08-04T06:07:00Z,81,21,19,41,74,53,0.0806979280261723
33226927910,2021-08-03T05:59:00Z,82,17,21,44,38,54,0.09719438877755511
33213698209,2021-08-02T06:30:30Z,88,21,21,46,75,55,0.07958115183246073
33201321903,2021-08-01T06:24:30Z,81,20,19,42,73,54,0.09814612868047982
33187568547,2021-07-31T04:53:00Z,71,16,18,37,33,54,0.10542168674698796
33174339470,2021-07-30T06:05:30Z,71,17,20,34,47,55,0.10751445086705202
33162838729,2021-07-29T06:01:00Z,64,20,12,32,90,53,0.14859926918392205
33149372895,2021-07-28T06:17:30Z,79,20,19,40,67,54,0.1092896174863388
33136959095,2021-07-27T06:01:30Z,82,16,21,45,84,54,0.08163265306122448
33123347650,2021-07-26T05:31:30Z,84,20,20,44,57,57,0.10752688172043011
33111114963,2021-07-25T06:06:00Z,79,18,19,42,74,56,0.06382978723404255
33099736412,2021-07-24T05:54:00Z,70,16,16,38,78,55,0.1
33085744093,2021-07-23T05:58:30Z,83,21,21,41,69,55,0.0912906610703043
33073747425,2021-07-22T05:35:30Z,83,21,20,42,74,54,0.07789232531500573
33062596588,2021-07-21T07:05:30Z,79,17,22,40,63,57,0.08025343189017951
33047712630,2021-07-20T05:55:30Z,79,19,22,38,33,59,0.08260325406758448
33032441827,2021-07-19T05:46:30Z,90,23,22,45,115,60,0.08923643054277829
33020752708,2021-07-18T06:26:30Z,67,17,15,35,69,58,0.09102402022756005
33009117089,2021-07-17T06:54:30Z,68,18,12,38,107,56,0.09839572192513368
32997228720,2021-07-16T06:21:00Z,87,21,22,44,46,57,0.05831265508684864
