date_time,heart_zone_id,total_minutes
2020-08-31T12:18,FAT_BURN,1
2020-08-31T12:19,FAT_BURN,1
2020-08-31T12:20,FAT_BURN,1
2020-08-31T12:21,FAT_BURN,1
2020-08-31T12:29,FAT_BURN,1
2020-08-31T12:31,FAT_BURN,1
2020-08-31T15:06,FAT_BURN,1
2020-08-31T15:08,FAT_BURN,1
2020-08-31T15:16,FAT_BURN,1
2020-08-31T17:34,FAT_BURN,1
2020-08-31T17:35,FAT_BURN,1
2020-08-31T17:36,FAT_BURN,1
2020-08-31T17:37,CARDIO,2
2020-08-31T17:38,FAT_BURN,1
2020-08-31T17:39,FAT_BURN,1
2020-08-31T17:40,FAT_BURN,1
2020-08-31T17:41,FAT_BURN,1
2020-08-31T17:42,FAT_BURN,1
2020-08-31T17:43,FAT_BURN,1
2020-08-31T17:44,FAT_BURN,1
2020-08-31T17:45,FAT_BURN,1
2020-08-31T17:46,FAT_BURN,1
2020-08-31T17:48,FAT_BURN,1
2020-08-31T17:50,FAT_BURN,1
2020-08-31T17:51,FAT_BURN,1
2020-08-31T17:52,FAT_BURN,1
2020-08-31T17:53,FAT_BURN,1
2020-08-31T17:54,FAT_BURN,1
2020-08-31T17:55,FAT_BURN,1
2020-08-31T17:56,FAT_BURN,1
2020-08-31T17:57,FAT_BURN,1
2020-08-31T17:58,FAT_BURN,1
2020-08-31T17:59,FAT_BURN,1
2020-08-31T18:00,FAT_BURN,1
2020-08-31T18:01,FAT_BURN,1
2020-08-31T18:02,FAT_BURN,1
2020-08-31T18:03,FAT_BURN,1
2020-08-31T18:04,FAT_BURN,1
2020-08-31T18:05,FAT_BURN,1
2020-08-31T18:06,CARDIO,2
2020-08-31T18:07,FAT_BURN,1
2020-08-31T18:08,FAT_BURN,1
2020-08-31T18:09,FAT_BURN,1
2020-08-31T18:10,FAT_BURN,1
2020-08-31T18:11,FAT_BURN,1
2020-08-31T18:12,FAT_BURN,1
2020-08-31T18:13,FAT_BURN,1
2020-08-31T18:14,CARDIO,2
2020-08-31T18:15,CARDIO,2
2020-08-31T18:16,FAT_BURN,1
2020-08-31T18:17,FAT_BURN,1
2020-08-31T18:18,FAT_BURN,1
2020-08-31T18:19,FAT_BURN,1
2020-08-31T18:20,FAT_BURN,1
2020-08-31T18:21,FAT_BURN,1
2020-08-31T18:22,FAT_BURN,1
2020-08-31T18:23,FAT_BURN,1
2020-08-31T18:24,FAT_BURN,1
2020-08-31T18:25,CARDIO,2
2020-08-31T18:26,CARDIO,2
2020-08-31T18:27,FAT_BURN,1
2020-08-31T18:28,FAT_BURN,1
2020-08-31T18:29,FAT_BURN,1
2020-08-31T18:30,FAT_BURN,1
