DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2021-12-30T00:00:00,2021-12-30T13:58:36.656,86,26,30,25,30,35,40,READY,false
2021-12-31T00:00:00,2021-12-31T12:53:16.6,86,28,30,22,30,36,40,READY,false
2022-01-01T00:00:00,2022-01-01T14:37:11.806,80,22,30,23,30,35,40,READY,false
2022-01-02T00:00:00,2022-01-02T14:46:54.808,79,25,30,21,30,33,40,READY,false
2022-01-03T00:00:00,2022-01-03T13:02:45.395,78,21,30,24,30,33,40,READY,false
2022-01-04T00:00:00,2022-01-04T12:42:00.33,81,24,30,22,30,35,40,READY,false
2022-01-05T00:00:00,2022-01-05T12:35:22.786,79,22,30,26,30,31,40,READY,false
2022-01-06T00:00:00,2022-01-06T14:06:43.276,0,0,0,0,0,0,0,NO_DATA,true
2022-01-07T00:00:00,2022-01-07T12:35:48.089,81,24,30,25,30,32,40,READY,false
2022-01-08T00:00:00,2022-01-08T14:14:57.49,82,25,30,25,30,32,40,READY,false
2022-01-09T00:00:00,2022-01-09T13:54:06.423,72,21,30,17,30,34,40,READY,false
2022-01-10T00:00:00,2022-01-10T12:21:19.006,81,20,30,26,30,35,40,READY,false
2022-01-11T00:00:00,2022-01-12T01:09:44.309,71,15,30,20,30,36,40,READY,false
2022-01-12T00:00:00,2022-01-12T12:14:34.339,62,18,30,12,30,32,40,READY,false
2022-01-24T00:00:00,2022-01-24T12:04:43.774,76,21,30,23,30,32,40,READY,false
2022-01-25T00:00:00,2022-01-25T13:43:41.877,72,21,30,19,30,32,40,READY,false
2022-01-26T00:00:00,2022-01-26T12:37:39.387,0,0,0,0,0,0,0,IN_PROGRESS,false
2022-01-27T00:00:00,2022-01-27T12:34:12.869,76,23,30,23,30,30,40,READY,false
2022-01-28T00:00:00,2022-01-28T19:14:05.997,81,24,30,24,30,33,40,READY,false
